iter	Passed	Remaining
0	191	191560
1	225	112385
2	258	85847
3	284	70914
4	311	62031
5	335	55549
6	360	51131
7	391	48492
8	433	47722
9	466	46214
10	500	44979
11	532	43840
12	562	42683
13	586	41336
14	616	40468
15	660	40591
16	684	39603
17	712	38888
18	746	38523
19	781	38278
20	816	38075
21	848	37698
22	880	37384
23	918	37343
24	947	36969
25	974	36507
26	1000	36070
27	1027	35661
28	1057	35421
29	1083	35018
30	1107	34613
31	1134	34321
32	1157	33925
33	1183	33630
34	1208	33315
35	1232	33006
36	1259	32786
37	1284	32511
38	1307	32228
39	1343	32235
40	1375	32167
41	1400	31946
42	1428	31788
43	1458	31688
44	1480	31422
45	1503	31176
46	1527	30972
47	1553	30804
48	1576	30600
49	1600	30401
50	1624	30219
51	1647	30034
52	1675	29941
53	1698	29760
54	1723	29606
55	1746	29432
56	1773	29337
57	1796	29173
58	1820	29040
59	1844	28902
60	1875	28876
61	1898	28724
62	1924	28620
63	1947	28479
64	1974	28408
65	1998	28278
66	2023	28177
67	2046	28043
68	2072	27968
69	2098	27877
70	2122	27765
71	2146	27664
72	2172	27590
73	2196	27491
74	2220	27384
75	2243	27277
76	2272	27237
77	2298	27168
78	2320	27055
79	2343	26951
80	2369	26878
81	2394	26802
82	2419	26736
83	2443	26641
84	2469	26581
85	2493	26502
86	2518	26428
87	2540	26331
88	2565	26264
89	2592	26208
90	2617	26142
91	2640	26058
92	2664	25989
93	2695	25977
94	2718	25893
95	2741	25820
96	2764	25738
97	2792	25700
98	2815	25627
99	2840	25565
100	2864	25496
101	2891	25452
102	2913	25376
103	2936	25297
104	2960	25234
105	2982	25158
106	3009	25116
107	3032	25045
108	3055	24980
109	3079	24917
110	3109	24900
111	3131	24829
112	3156	24774
113	3180	24716
114	3204	24660
115	3229	24614
116	3256	24578
117	3279	24513
118	3303	24454
119	3328	24410
120	3351	24348
121	3376	24299
122	3399	24240
123	3426	24205
124	3448	24140
125	3473	24090
126	3495	24025
127	3526	24026
128	3550	23975
129	3573	23915
130	3596	23856
131	3623	23824
132	3651	23800
133	3681	23789
134	3705	23744
135	3732	23713
136	3756	23664
137	3779	23607
138	3803	23558
139	3825	23499
140	3851	23464
141	3874	23409
142	3899	23372
143	3927	23345
144	3954	23320
145	3978	23271
146	4003	23231
147	4026	23182
148	4054	23155
149	4079	23117
150	4102	23064
151	4125	23014
152	4152	22987
153	4174	22932
154	4198	22888
155	4220	22836
156	4245	22797
157	4271	22765
158	4296	22724
159	4319	22679
160	4350	22669
161	4374	22628
162	4397	22582
163	4420	22535
164	4446	22502
165	4472	22468
166	4497	22432
167	4519	22382
168	4543	22343
169	4568	22306
170	4593	22271
171	4616	22222
172	4644	22201
173	4677	22206
174	4714	22225
175	4757	22274
176	4794	22293
177	4824	22280
178	4857	22279
179	4886	22261
180	4911	22223
181	4934	22177
182	4958	22136
183	4983	22099
184	5007	22058
185	5030	22017
186	5054	21975
187	5080	21945
188	5105	21908
189	5128	21862
190	5155	21838
191	5181	21803
192	5205	21766
193	5228	21724
194	5254	21691
195	5281	21663
196	5304	21620
197	5329	21586
198	5354	21552
199	5381	21526
200	5405	21486
201	5427	21440
202	5451	21402
203	5477	21372
204	5501	21334
205	5524	21295
206	5552	21272
207	5576	21234
208	5608	21224
209	5638	21210
210	5667	21191
211	5696	21173
212	5730	21174
213	5758	21150
214	5790	21143
215	5814	21105
216	5839	21069
217	5863	21034
218	5890	21006
219	5914	20968
220	5938	20930
221	5965	20907
222	5993	20884
223	6019	20853
224	6042	20813
225	6067	20780
226	6095	20758
227	6119	20720
228	6141	20677
229	6166	20644
230	6191	20610
231	6219	20589
232	6245	20559
233	6267	20517
234	6292	20484
235	6317	20450
236	6340	20414
